Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,41.63,41.63,41.87,122507
Alameda,37.97,36.88,39.08,4781
Alpine,N/A,N/A,N/A,N/A
Amador,65.58,57.09,75.05,267
Butte,88.58,83.75,93.61,1411
Calaveras,68.15,59.26,78.03,317
Colusa,74.76,61.35,90.26,115
Contra Costa,40.84,39.5,42.2,3788
Del Norte,108.37,94.51,123.74,240
El Dorado,55.35,51.54,59.38,934
Fresno,59.86,57.94,61.82,3821
Glenn,107.35,93.5,122.71,229
Humboldt,74.86,69.5,80.53,812
Imperial,34.31,31.08,37.79,431
Inyo,60.47,48.14,75.12,103
Kern,69.71,67.5,71.97,3933
Kings,68.44,62.86,74.37,575
Lake,152.24,141.98,163.08,956
Lassen,93.38,81.11,107.02,221
Los Angeles,40.15,39.69,40.61,29871
Madera,50.37,46.21,54.82,554
Marin,19.44,17.61,21.41,489
Mariposa,75.5,62.37,90.83,161
Mendocino,81.88,75.15,89.07,624
Merced,81.78,77.48,86.25,1397
Modoc,97.29,74.17,125.31,79
Mono,16.98,9.77,28.29,18
Monterey,38.92,36.7,41.24,1189
Napa,29.17,26.2,32.4,372
Nevada,41.58,37.13,46.42,421
Orange,28.11,27.43,28.81,6679
Placer,27.81,26.09,29.62,1039
Plumas,96.72,80.65,115.16,187
Riverside,45.88,44.86,46.91,8123
Sacramento,59.92,58.47,61.41,6719
San Benito,38.37,32.46,45.03,159
San Bernardino,52.7,51.48,53.94,7459
San Diego,33.89,33.14,34.64,8290
San Francisco,31.13,29.87,32.43,2367
San Joaquin,58.74,56.63,60.91,3072
San Luis Obispo,43.26,40.45,46.22,1035
San Mateo,18.71,17.65,19.82,1209
Santa Barbara,35.15,33.09,37.3,1143
Santa Clara,20.85,20.11,21.62,3035
Santa Cruz,20.82,18.87,22.93,457
Shasta,72.6,68.19,77.22,1134
Sierra,32.06,18.12,59.19,16
Siskiyou,72.3,63.24,82.34,300
Solano,54.62,52.1,57.24,1877
Sonoma,38.74,36.85,40.71,1726
Stanislaus,64.53,61.94,67.2,2434
Sutter,46.56,41.72,51.81,351
Tehama,100.04,91.69,108.97,583
Trinity,44.25,31.83,60.03,57
Tulare,45.71,43.26,48.25,1343
Tuolumne,67.56,59.9,75.97,366
Ventura,33.94,32.48,35.45,2151
Yolo,40.65,37.28,44.25,559
Yuba,99.24,90.73,108.34,528
