Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,34.88,34.88,35.07,128345
Alameda,40.29,39.21,41.38,5884
Alpine,N/A,N/A,N/A,N/A
Amador,63.77,54.66,73.87,211
Butte,26.04,23.71,28.53,509
Calaveras,37.9,31.13,45.61,125
Colusa,33.78,26.28,42.71,72
Contra Costa,45.7,44.39,47.04,4834
Del Norte,69.48,58.95,81.26,163
El Dorado,30.3,27.49,33.3,472
Fresno,43.59,42.3,44.9,4439
Glenn,31.76,25,39.7,84
Humboldt,37.67,34.22,41.35,460
Imperial,38.87,35.94,41.97,717
Inyo,47.43,36.88,59.89,76
Kern,31.64,30.47,32.84,2845
Kings,38,34.96,41.24,587
Lake,54.48,48.41,61.07,315
Lassen,26.74,20.63,34.03,71
Los Angeles,38.02,37.61,38.42,34997
Madera,35.77,32.83,38.89,557
Marin,22.33,20.2,24.6,469
Mariposa,43.18,31.83,57,55
Mendocino,45.53,40.85,50.59,364
Merced,49.7,47.09,52.42,1402
Modoc,37.64,21.13,60.45,22
Mono,27.77,18.63,39.6,32
Monterey,33.36,31.62,35.16,1410
Napa,26.32,23.37,29.52,322
Nevada,28.97,25.03,33.32,217
Orange,24.78,24.2,25.38,7167
Placer,25.8,24.14,27.54,957
Plumas,35.68,25.5,48.28,49
Riverside,35.57,34.8,36.36,8307
Sacramento,44.62,43.54,45.71,6719
San Benito,40,35.07,45.41,246
San Bernardino,39.78,38.93,40.65,8539
San Diego,26.68,26.1,27.26,8379
San Francisco,29.76,28.45,31.11,2120
San Joaquin,51.79,50.18,53.44,3996
San Luis Obispo,23,21.06,25.06,577
San Mateo,24.31,23.11,25.57,1646
Santa Barbara,21.33,19.94,22.8,915
Santa Clara,24.97,24.23,25.74,4441
Santa Cruz,25.49,23.36,27.74,589
Shasta,29.98,27.26,32.88,480
Sierra,N/A,N/A,N/A,N/A
Siskiyou,31.29,25.52,37.89,121
Solano,61.09,58.69,63.55,2549
Sonoma,31.12,29.41,32.9,1348
Stanislaus,41.73,39.99,43.52,2237
Sutter,26.76,23.46,30.36,249
Tehama,36.85,31.98,42.22,215
Trinity,33.26,22.94,46.27,41
Tulare,32,30.39,33.67,1537
Tuolumne,44.78,38.34,51.93,197
Ventura,26.1,24.94,27.29,2011
Yolo,35.45,32.62,38.44,661
Yuba,40.93,36.6,45.62,333
