Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,42.23,42.23,42.43,163273
Alameda,48.4,47.31,49.5,7778
Alpine,N/A,N/A,N/A,N/A
Amador,43.83,36.31,52.37,137
Butte,42.13,39.29,45.11,906
Calaveras,51.8,44.03,60.46,185
Colusa,53.47,44.14,64.15,118
Contra Costa,55.1,53.69,56.54,5991
Del Norte,53.22,44.32,63.31,132
El Dorado,34.19,31.26,37.3,564
Fresno,66.96,65.37,68.58,6928
Glenn,35.88,29.1,43.74,101
Humboldt,53.04,49.03,57.28,686
Imperial,57.85,54.5,61.36,1146
Inyo,49.03,38.47,61.47,81
Kern,46.18,44.79,47.61,4290
Kings,53.69,50,57.57,832
Lake,86.34,78.64,94.56,503
Lassen,37.84,30.88,45.88,112
Los Angeles,47.03,46.6,47.46,46644
Madera,50.88,47.41,54.53,812
Marin,24.14,22.09,26.31,583
Mariposa,47.31,36.11,60.7,68
Mendocino,61.89,56.47,67.67,504
Merced,59.87,57.02,62.84,1704
Modoc,109.15,86.03,136.2,84
Mono,54.77,42.14,70.12,65
Monterey,36.09,34.34,37.91,1613
Napa,37.03,33.77,40.5,510
Nevada,26.02,22.45,29.98,219
Orange,26.45,25.87,27.04,8168
Placer,32.86,30.94,34.87,1151
Plumas,61.1,48.37,75.92,92
Riverside,37.73,36.94,38.53,8910
Sacramento,64.1,62.81,65.4,9633
San Benito,56.48,50.32,63.17,318
San Bernardino,47.22,46.3,48.15,10331
San Diego,28.69,28.1,29.28,9424
San Francisco,36.18,34.78,37.61,2854
San Joaquin,60.31,58.54,62.12,4519
San Luis Obispo,28.06,25.89,30.34,692
San Mateo,27.38,26.18,28.62,2050
Santa Barbara,27.37,25.81,28.99,1207
Santa Clara,26.25,25.53,26.99,5084
Santa Cruz,27.79,25.74,29.96,721
Shasta,38.38,35.3,41.63,604
Sierra,53.5,27.08,93.7,12
Siskiyou,34.12,28.32,40.7,138
Solano,79.02,76.31,81.8,3344
Sonoma,37.71,35.91,39.57,1766
Stanislaus,52.66,50.74,54.64,2899
Sutter,29.8,26.43,33.47,291
Tehama,48.01,42.48,54.03,288
Trinity,59.8,44.64,78.07,57
Tulare,32.11,30.53,33.74,1598
Tuolumne,47.32,40.86,54.46,220
Ventura,30.31,29.11,31.55,2465
Yolo,38.93,36.18,41.82,804
Yuba,42.9,38.35,47.84,333
