Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,4.48,4.41,4.54,17227
Alameda,4.48,4.15,4.83,711
Alpine,N/A,N/A,N/A,N/A
Amador,N/A,N/A,N/A,N/A
Butte,5.69,4.64,6.9,111
Calaveras,4.29,2.3,7.2,15
Colusa,N/A,N/A,N/A,N/A
Contra Costa,4.3,3.91,4.71,477
Del Norte,N/A,N/A,N/A,N/A
El Dorado,3.92,2.96,5.07,66
Fresno,5.83,5.37,6.32,608
Glenn,4.54,2.41,7.76,13
Humboldt,4.29,3.19,5.63,55
Imperial,6.25,5.19,7.46,125
Inyo,N/A,N/A,N/A,N/A
Kern,3.86,3.46,4.29,353
Kings,4.27,3.28,5.47,66
Lake,8.97,6.54,11.96,48
Lassen,4.82,2.5,8.33,13
Los Angeles,5.52,5.37,5.67,5427
Madera,3.74,2.85,4.82,60
Marin,2.38,1.75,3.15,54
Mariposa,N/A,N/A,N/A,N/A
Mendocino,3.91,2.63,5.57,31
Merced,4.49,3.72,5.37,123
Modoc,N/A,N/A,N/A,N/A
Mono,12.43,6.37,21.72,12
Monterey,4.13,3.55,4.78,183
Napa,1.42,0.85,2.21,21
Nevada,4.54,3.05,6.44,33
Orange,3.44,3.23,3.66,1062
Placer,3.3,2.7,4,112
Plumas,N/A,N/A,N/A,N/A
Riverside,3.95,3.7,4.21,936
Sacramento,5.5,5.13,5.9,816
San Benito,2.81,1.63,4.5,18
San Bernardino,5.01,4.71,5.32,1078
San Diego,4.3,4.08,4.53,1412
San Francisco,5.31,4.77,5.88,414
San Joaquin,5.05,4.55,5.59,380
San Luis Obispo,3.63,2.85,4.55,80
San Mateo,2.57,2.22,2.96,202
Santa Barbara,2.48,2.02,3,108
Santa Clara,3.23,2.98,3.49,631
Santa Cruz,3.2,2.53,4,82
Shasta,2.54,1.8,3.46,40
Sierra,N/A,N/A,N/A,N/A
Siskiyou,2.74,1.36,4.91,13
Solano,3.16,2.65,3.75,140
Sonoma,2.48,2.02,3.01,114
Stanislaus,5.98,5.33,6.68,317
Sutter,3.53,2.46,4.9,36
Tehama,4.35,2.78,6.43,25
Trinity,N/A,N/A,N/A,N/A
Tulare,4.25,3.69,4.88,210
Tuolumne,5.39,3.24,8.32,21
Ventura,3.05,2.67,3.46,251
Yolo,2.9,2.18,3.78,57
Yuba,3.89,2.63,5.55,31
