Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,6.08,5.99,6.16,19919
Alameda,5.16,4.79,5.55,766
Alpine,N/A,N/A,N/A,N/A
Amador,3.3,1.93,5.55,18
Butte,21.17,19.04,23.49,384
Calaveras,8.91,6.56,12.06,55
Colusa,16.03,10.76,23.23,30
Contra Costa,5.05,4.63,5.51,547
Del Norte,4.51,2.39,8.05,13
El Dorado,8.32,7.07,9.75,179
Fresno,12.71,11.87,13.6,871
Glenn,15.27,10.77,21.25,38
Humboldt,8.06,6.47,9.95,96
Imperial,2.57,1.77,3.64,35
Inyo,N/A,N/A,N/A,N/A
Kern,10.08,9.27,10.93,602
Kings,7.54,5.9,9.51,75
Lake,11.34,8.89,14.33,85
Lassen,7.47,4.58,11.66,21
Los Angeles,6.21,6.03,6.38,5038
Madera,11.16,9.32,13.27,133
Marin,2.92,2.31,3.67,89
Mariposa,7.12,3.7,13.08,16
Mendocino,5.26,3.86,7.07,50
Merced,11.03,9.53,12.71,198
Modoc,13.6,6.86,25.37,13
Mono,N/A,N/A,N/A,N/A
Monterey,5.71,4.92,6.6,192
Napa,3.68,2.74,4.87,54
Nevada,3.73,2.75,5.04,55
Orange,3.32,3.11,3.55,907
Placer,4.59,3.95,5.32,190
Plumas,11.81,7.78,17.79,33
Riverside,6.1,5.75,6.47,1157
Sacramento,9.36,8.82,9.92,1177
San Benito,5.33,3.4,7.98,24
San Bernardino,6.68,6.27,7.12,1015
San Diego,6.07,5.77,6.37,1641
San Francisco,5.62,5.11,6.16,469
San Joaquin,8.2,7.45,9,457
San Luis Obispo,4.48,3.73,5.36,131
San Mateo,1.92,1.61,2.27,148
Santa Barbara,3.37,2.78,4.05,121
Santa Clara,3.23,2.96,3.52,536
Santa Cruz,2.98,2.33,3.77,76
Shasta,10.02,8.57,11.67,185
Sierra,N/A,N/A,N/A,N/A
Siskiyou,8.17,5.78,11.42,44
Solano,3.99,3.38,4.69,158
Sonoma,5.41,4.75,6.13,264
Stanislaus,10.24,9.26,11.31,410
Sutter,13.16,10.78,15.95,109
Tehama,7.01,4.99,9.63,43
Trinity,6.52,3.71,11.61,16
Tulare,9.33,8.27,10.49,288
Tuolumne,7.45,5.31,10.28,48
Ventura,5.68,5.14,6.26,418
Yolo,5.19,4.1,6.51,80
Yuba,18.69,15.21,22.73,104
