County,"Age-adjusted rate per 100,000",Lower 95% Limit,Upper 95% Limit,Number of cases
Alameda,10.46,8.99,12.11,186
Alpine,N/A,N/A,N/A,N/A
Amador,52.69,30.06,85.26,20
Butte,30.28,22.8,39.33,60
Calaveras,N/A,N/A,N/A,N/A
Colusa,N/A,N/A,N/A,N/A
Contra Costa,12.69,10.7,14.94,153
Del Norte,N/A,N/A,N/A,N/A
El Dorado,20.05,13.83,28.05,39
Fresno,28.91,25.61,32.52,288
Glenn,N/A,N/A,N/A,N/A
Humboldt,N/A,N/A,N/A,N/A
Imperial,76.2,63.94,90.1,142
Inyo,N/A,N/A,N/A,N/A
Kern,30.22,26.64,34.15,267
Kings,26.65,18.46,37.12,36
Lake,34.98,20.99,54.41,22
Lassen,N/A,N/A,N/A,N/A
Los Angeles,8.11,7.56,8.68,845
Madera,50.66,39.76,63.57,76
Marin,8.35,5.05,12.98,23
Mariposa,N/A,N/A,N/A,N/A
Mendocino,23.77,14.26,37.07,21
Merced,25.91,20.2,32.73,73
Modoc,N/A,N/A,N/A,N/A
Mono,N/A,N/A,N/A,N/A
Monterey,9.37,6.67,12.78,40
Napa,21.78,14.3,31.65,28
Nevada,19.01,10.61,31.25,18
Orange,5.58,4.78,6.46,184
Placer,14.04,10.46,18.43,56
Plumas,N/A,N/A,N/A,N/A
Riverside,25.77,23.75,27.9,632
Sacramento,16.26,14.29,18.43,253
San Benito,N/A,N/A,N/A,N/A
San Bernardino,19.78,17.91,21.79,426
San Diego,7.72,6.8,8.72,263
San Francisco,7.92,6.26,9.92,88
San Joaquin,21.14,17.94,24.73,161
San Luis Obispo,10.09,6.58,14.8,29
San Mateo,9.7,7.75,12.01,90
Santa Barbara,7.22,4.95,10.17,34
Santa Clara,6.53,5.46,7.75,135
Santa Cruz,8.37,5.2,12.73,23
Shasta,36.53,27.78,47.08,64
Sierra,N/A,N/A,N/A,N/A
Siskiyou,N/A,N/A,N/A,N/A
Solano,18.53,14.69,23.06,84
Sonoma,15.4,12.13,19.28,84
Stanislaus,32.93,28.19,38.23,178
Sutter,13.87,7.62,23.17,15
Tehama,41.61,26.25,62.25,24
Trinity,N/A,N/A,N/A,N/A
Tulare,26.03,21.5,31.21,119
Tuolumne,37.95,21.52,61.55,18
Ventura,7.04,5.34,9.11,60
Yolo,24.14,17.8,32,53
Yuba,20.41,11.77,33.06,17
