Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,2.18,2.13,2.23,8555
Alameda,2.08,1.86,2.32,347
Alpine,N/A,N/A,N/A,N/A
Amador,N/A,N/A,N/A,N/A
Butte,3.28,2.49,4.23,62
Calaveras,N/A,N/A,N/A,N/A
Colusa,N/A,N/A,N/A,N/A
Contra Costa,1.96,1.71,2.24,234
Del Norte,N/A,N/A,N/A,N/A
El Dorado,1.64,1.05,2.43,28
Fresno,3.58,3.21,3.97,355
Glenn,N/A,N/A,N/A,N/A
Humboldt,2.41,1.65,3.39,35
Imperial,1.61,1.06,2.33,30
Inyo,N/A,N/A,N/A,N/A
Kern,2.23,1.92,2.56,200
Kings,1.62,1.02,2.44,23
Lake,2.58,1.44,4.23,16
Lassen,4.6,2.51,7.73,15
Los Angeles,2.75,2.65,2.86,2718
Madera,2.33,1.62,3.23,36
Marin,1.02,0.63,1.57,24
Mariposa,N/A,N/A,N/A,N/A
Mendocino,N/A,N/A,N/A,N/A
Merced,2.17,1.64,2.81,59
Modoc,N/A,N/A,N/A,N/A
Mono,N/A,N/A,N/A,N/A
Monterey,1.89,1.5,2.35,84
Napa,0.91,0.46,1.59,13
Nevada,1.83,0.96,3.11,14
Orange,1.72,1.58,1.88,547
Placer,1.11,0.8,1.49,46
Plumas,N/A,N/A,N/A,N/A
Riverside,1.99,1.81,2.18,476
Sacramento,2.69,2.44,2.97,416
San Benito,N/A,N/A,N/A,N/A
San Bernardino,2.24,2.04,2.45,483
San Diego,2.1,1.95,2.26,701
San Francisco,2.08,1.78,2.42,186
San Joaquin,2.47,2.13,2.85,196
San Luis Obispo,1.51,1.04,2.12,36
San Mateo,1.24,1,1.51,102
Santa Barbara,1.38,1.05,1.77,64
Santa Clara,1.46,1.3,1.65,294
Santa Cruz,1.55,1.1,2.12,43
Shasta,1.48,0.94,2.21,25
Sierra,N/A,N/A,N/A,N/A
Siskiyou,N/A,N/A,N/A,N/A
Solano,1.58,1.23,1.99,76
Sonoma,1.25,0.94,1.62,63
Stanislaus,2.52,2.11,2.98,136
Sutter,2.75,1.82,3.98,29
Tehama,N/A,N/A,N/A,N/A
Trinity,N/A,N/A,N/A,N/A
Tulare,1.59,1.25,2,77
Tuolumne,2.23,1.07,4.07,12
Ventura,1.56,1.3,1.86,137
Yolo,0.83,0.46,1.36,15
Yuba,3.2,2.06,4.75,25
