Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,42.32,42.32,42.53,161783
Alameda,46.34,45.27,47.42,7432
Alpine,N/A,N/A,N/A,N/A
Amador,52.68,44.38,61.99,169
Butte,37.77,34.99,40.7,752
Calaveras,58.8,50.41,68.1,199
Colusa,47.17,38.38,57.34,103
Contra Costa,54.97,53.55,56.43,5888
Del Norte,48,39.55,57.64,117
El Dorado,33.25,30.35,36.34,539
Fresno,63.37,61.83,64.94,6588
Glenn,40.41,33.35,48.5,118
Humboldt,49.54,45.59,53.74,614
Imperial,61.9,58.39,65.57,1197
Inyo,60.97,48.64,75.31,92
Kern,46.57,45.17,48.01,4278
Kings,47.49,44.08,51.09,752
Lake,90.9,82.88,99.45,508
Lassen,36.67,29.57,44.92,101
Los Angeles,47.95,47.51,48.39,46731
Madera,50.11,46.62,53.78,779
Marin,23.27,21.21,25.46,540
Mariposa,37.75,27.84,49.88,63
Mendocino,61.11,55.68,66.91,488
Merced,59.66,56.8,62.62,1687
Modoc,91.93,70.38,117.55,67
Mono,47.89,35.47,63.24,51
Monterey,36.95,35.16,38.8,1630
Napa,37.75,34.39,41.35,496
Nevada,27.74,23.95,31.93,218
Orange,27.26,26.67,27.86,8315
Placer,29.45,27.63,31.35,1036
Plumas,56.34,44.36,70.42,86
Riverside,39.48,38.67,40.3,9237
Sacramento,59.48,58.24,60.74,8986
San Benito,58.02,51.91,64.64,340
San Bernardino,50.06,49.11,51.02,10877
San Diego,30.2,29.6,30.81,9860
San Francisco,33.21,31.88,34.57,2666
San Joaquin,58.01,56.28,59.78,4373
San Luis Obispo,31.87,29.52,34.34,762
San Mateo,26.21,25.04,27.43,1983
Santa Barbara,28.11,26.52,29.76,1225
Santa Clara,24.29,23.59,25.01,4646
Santa Cruz,30.52,28.36,32.8,796
Shasta,39.94,36.81,43.26,630
Sierra,N/A,N/A,N/A,N/A
Siskiyou,40.79,34.2,48.21,148
Solano,71.26,68.67,73.91,2986
Sonoma,32.65,30.95,34.43,1487
Stanislaus,52.93,50.99,54.92,2887
Sutter,27.19,24.03,30.65,274
Tehama,46.61,41.14,52.58,273
Trinity,43.23,31.03,58.37,47
Tulare,40.67,38.88,42.52,1994
Tuolumne,44.83,38.29,52.1,185
Ventura,30.65,29.42,31.92,2410
Yolo,35.9,33.24,38.72,742
Yuba,42.43,37.9,47.35,327
