Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,2.53,2.48,2.58,9466
Alameda,2.38,2.13,2.64,384
Alpine,N/A,N/A,N/A,N/A
Amador,N/A,N/A,N/A,N/A
Butte,3.32,2.51,4.3,60
Calaveras,N/A,N/A,N/A,N/A
Colusa,N/A,N/A,N/A,N/A
Contra Costa,2,1.74,2.29,231
Del Norte,N/A,N/A,N/A,N/A
El Dorado,2.1,1.39,3.01,31
Fresno,3.84,3.46,4.24,388
Glenn,N/A,N/A,N/A,N/A
Humboldt,1.63,0.99,2.52,21
Imperial,1.72,1.17,2.45,34
Inyo,N/A,N/A,N/A,N/A
Kern,2.21,1.92,2.55,202
Kings,3.02,2.2,4.04,46
Lake,N/A,N/A,N/A,N/A
Lassen,N/A,N/A,N/A,N/A
Los Angeles,3.09,2.98,3.21,2890
Madera,2.14,1.46,3.02,33
Marin,0.79,0.46,1.27,21
Mariposa,N/A,N/A,N/A,N/A
Mendocino,N/A,N/A,N/A,N/A
Merced,2.29,1.76,2.93,64
Modoc,N/A,N/A,N/A,N/A
Mono,N/A,N/A,N/A,N/A
Monterey,2.38,1.94,2.88,106
Napa,N/A,N/A,N/A,N/A
Nevada,N/A,N/A,N/A,N/A
Orange,1.97,1.81,2.14,588
Placer,1.96,1.51,2.48,70
Plumas,N/A,N/A,N/A,N/A
Riverside,2.49,2.29,2.71,571
Sacramento,3.25,2.97,3.56,493
San Benito,N/A,N/A,N/A,N/A
San Bernardino,2.68,2.46,2.91,571
San Diego,2.68,2.5,2.87,861
San Francisco,3.07,2.67,3.52,233
San Joaquin,2.69,2.33,3.09,206
San Luis Obispo,1.22,0.8,1.77,30
San Mateo,1.2,0.95,1.48,90
Santa Barbara,1.36,1.03,1.76,60
Santa Clara,1.77,1.58,1.98,325
Santa Cruz,1.86,1.32,2.54,41
Shasta,2.11,1.46,2.95,36
Sierra,N/A,N/A,N/A,N/A
Siskiyou,N/A,N/A,N/A,N/A
Solano,2.44,1.98,2.96,105
Sonoma,0.88,0.62,1.21,43
Stanislaus,2.87,2.42,3.37,151
Sutter,2.6,1.64,3.89,24
Tehama,1.95,0.99,3.42,12
Trinity,N/A,N/A,N/A,N/A
Tulare,2.48,2.06,2.98,121
Tuolumne,N/A,N/A,N/A,N/A
Ventura,1.85,1.55,2.18,146
Yolo,2.79,2.04,3.71,48
Yuba,3.29,2.14,4.83,26
