Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,12.18,12.06,12.31,36873
Alameda,10.33,9.76,10.92,1285
Alpine,N/A,N/A,N/A,N/A
Amador,12.43,9.21,16.6,55
Butte,33.23,30.63,36.01,647
Calaveras,11.11,8.3,14.76,61
Colusa,37.09,28.34,47.8,63
Contra Costa,10.25,9.61,10.92,994
Del Norte,19.92,14.31,27.06,45
El Dorado,17.35,15.46,19.43,324
Fresno,18.64,17.57,19.75,1192
Glenn,49.56,41.03,59.47,121
Humboldt,14.66,12.46,17.16,174
Imperial,8.16,6.64,9.92,103
Inyo,14.02,9.24,20.85,29
Kern,20.26,19.06,21.5,1124
Kings,22.01,18.89,25.49,183
Lake,38.87,34.23,44.05,275
Lassen,13.04,8.78,18.67,32
Los Angeles,13.59,13.33,13.86,10376
Madera,16.13,13.85,18.7,182
Marin,4.14,3.43,4.99,123
Mariposa,18.34,12.57,26.29,42
Mendocino,16.12,13.4,19.27,136
Merced,26.39,23.94,29.02,440
Modoc,N/A,N/A,N/A,N/A
Mono,N/A,N/A,N/A,N/A
Monterey,10.27,9.15,11.5,316
Napa,5.7,4.49,7.15,78
Nevada,9.25,7.45,11.41,110
Orange,7.78,7.43,8.14,1939
Placer,6.1,5.34,6.94,237
Plumas,27.53,20.58,36.46,64
Riverside,11.89,11.39,12.41,2191
Sacramento,15.61,14.87,16.37,1759
San Benito,14.47,10.83,18.92,56
San Bernardino,15.42,14.76,16.11,2162
San Diego,10.63,10.23,11.05,2671
San Francisco,10.87,10.14,11.65,828
San Joaquin,15.88,14.79,17.04,819
San Luis Obispo,10.65,9.42,12.01,297
San Mateo,4.77,4.26,5.33,321
Santa Barbara,7.5,6.6,8.5,259
Santa Clara,6.24,5.84,6.67,924
Santa Cruz,6.55,5.51,7.75,150
Shasta,15.33,13.46,17.41,264
Sierra,N/A,N/A,N/A,N/A
Siskiyou,21.63,17.57,26.49,111
Solano,11.53,10.42,12.73,412
Sonoma,7.82,7.03,8.68,379
Stanislaus,20.16,18.75,21.66,778
Sutter,12.72,10.27,15.59,96
Tehama,26.76,22.73,31.38,160
Trinity,6.97,3.44,13.59,12
Tulare,18.78,17.2,20.45,540
Tuolumne,9.33,7.06,12.24,61
Ventura,8.85,8.15,9.6,604
Yolo,9.02,7.51,10.76,128
Yuba,24.1,20.01,28.79,127
