Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,11.32,11.19,11.44,34877
Alameda,9.89,9.35,10.47,1264
Alpine,N/A,N/A,N/A,N/A
Amador,11.64,8.71,15.47,57
Butte,35.78,32.95,38.8,641
Calaveras,13.27,10.25,17.13,78
Colusa,33.43,24.71,44.26,52
Contra Costa,9.07,8.47,9.69,895
Del Norte,13.43,9.01,19.37,32
El Dorado,15.37,13.62,17.31,301
Fresno,17.52,16.5,18.57,1154
Glenn,46.46,37.99,56.35,108
Humboldt,16.15,13.86,18.72,195
Imperial,8.63,7.08,10.42,112
Inyo,13.49,8.75,20.37,27
Kern,19.34,18.19,20.56,1084
Kings,19.38,16.45,22.68,160
Lake,37.8,33.13,43.02,261
Lassen,14.27,9.89,20.02,36
Los Angeles,12.5,12.25,12.75,9731
Madera,12.79,10.77,15.1,144
Marin,3.52,2.85,4.32,104
Mariposa,17.74,12.68,24.81,45
Mendocino,10.66,8.59,13.13,97
Merced,25.5,23.14,28.04,442
Modoc,N/A,N/A,N/A,N/A
Mono,N/A,N/A,N/A,N/A
Monterey,10.42,9.31,11.62,335
Napa,5.77,4.55,7.24,78
Nevada,13.25,11.14,15.72,161
Orange,7.29,6.96,7.64,1850
Placer,6.43,5.66,7.27,262
Plumas,18.36,12.95,25.82,44
Riverside,11.09,10.61,11.58,2104
Sacramento,15.04,14.32,15.78,1730
San Benito,9.09,6.36,12.59,38
San Bernardino,13,12.4,13.62,1864
San Diego,9.72,9.33,10.11,2475
San Francisco,10.98,10.24,11.75,851
San Joaquin,14.65,13.61,15.74,780
San Luis Obispo,7.18,6.16,8.34,198
San Mateo,4.58,4.08,5.13,311
Santa Barbara,6.09,5.27,7,206
Santa Clara,5.34,4.98,5.72,817
Santa Cruz,7.27,6.16,8.54,162
Shasta,16.71,14.72,18.91,277
Sierra,N/A,N/A,N/A,N/A
Siskiyou,14.25,10.86,18.5,70
Solano,8.35,7.43,9.36,313
Sonoma,9.6,8.72,10.55,463
Stanislaus,19.48,18.07,20.96,738
Sutter,10.27,8.16,12.79,83
Tehama,25.86,22.01,30.27,165
Trinity,N/A,N/A,N/A,N/A
Tulare,15.55,14.14,17.06,459
Tuolumne,9.73,7.36,12.76,64
Ventura,10.11,9.35,10.9,689
Yolo,8.84,7.33,10.56,125
Yuba,22.11,18.24,26.57,121
