Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,26.83,26.64,27.02,82868
Alameda,21.47,20.68,22.28,3122
Alpine,N/A,N/A,N/A,N/A
Amador,59.16,52,67.16,298
Butte,50.1,46.56,53.85,833
Calaveras,56.15,47.9,65.42,248
Colusa,39.29,30,50.63,66
Contra Costa,23.53,22.56,24.53,2397
Del Norte,62.08,52.35,73.2,156
El Dorado,31.99,29.26,34.93,628
Fresno,31.7,30.34,33.1,2129
Glenn,74.61,63.26,87.48,168
Humboldt,71.14,66.01,76.56,788
Imperial,14.98,12.8,17.43,186
Inyo,36.89,27.96,47.92,71
Kern,42.13,40.47,43.84,2519
Kings,34.47,30.91,38.34,355
Lake,97.08,88.94,105.8,635
Lassen,75.37,64.27,87.85,183
Los Angeles,25,24.63,25.37,18703
Madera,27.51,24.56,30.73,330
Marin,12.94,11.39,14.65,342
Mariposa,52.39,39.93,67.55,95
Mendocino,69.47,63.32,76.06,547
Merced,44.6,41.54,47.82,815
Modoc,101.42,78.87,128.76,89
Mono,14.78,7.85,25.2,15
Monterey,24.56,22.84,26.39,789
Napa,24.53,21.72,27.62,322
Nevada,21.15,18.01,24.69,234
Orange,18.02,17.48,18.58,4485
Placer,21.25,19.78,22.81,841
Plumas,52.12,40.34,66.27,108
Riverside,29.5,28.69,30.31,5367
Sacramento,38.58,37.45,39.73,4653
San Benito,16.33,12.89,20.43,80
San Bernardino,36.38,35.39,37.38,5449
San Diego,21.28,20.71,21.86,5504
San Francisco,19.43,18.45,20.46,1559
San Joaquin,43.41,41.68,45.2,2444
San Luis Obispo,25.64,23.6,27.81,667
San Mateo,14.17,13.22,15.17,946
Santa Barbara,20.04,18.55,21.64,707
Santa Clara,16.26,15.6,16.95,2433
Santa Cruz,14.03,12.47,15.73,332
Shasta,52.43,48.74,56.34,856
Sierra,N/A,N/A,N/A,N/A
Siskiyou,62.29,53.79,71.75,259
Solano,39.4,37.33,41.57,1461
Sonoma,27.12,25.52,28.79,1231
Stanislaus,47.64,45.45,49.91,1864
Sutter,47.59,42.52,53.1,349
Tehama,74.39,66.91,82.49,413
Trinity,53.97,41.6,68.94,90
Tulare,31.5,29.51,33.59,963
Tuolumne,39.26,33.73,45.48,235
Ventura,24.43,23.22,25.69,1662
Yolo,25.18,22.66,27.91,391
Yuba,78.79,71.54,86.59,449
