Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,22.64,22.47,22.82,69575
Alameda,17.58,16.87,18.32,2501
Alpine,N/A,N/A,N/A,N/A
Amador,40.17,34.16,47.04,190
Butte,55.37,51.72,59.23,939
Calaveras,39.43,33.09,46.69,200
Colusa,45.13,35.38,56.87,78
Contra Costa,21.45,20.53,22.4,2184
Del Norte,53.35,44.22,63.89,131
El Dorado,29.06,26.39,31.94,546
Fresno,31.61,30.24,33.02,2096
Glenn,94.09,80.94,108.81,204
Humboldt,56.05,51.53,60.87,627
Imperial,13.62,11.58,15.94,170
Inyo,38.89,29.64,50.25,73
Kern,35.98,34.44,37.57,2128
Kings,30.11,26.69,33.86,291
Lake,83.66,76.29,91.59,570
Lassen,53.98,45.17,64.07,142
Los Angeles,19.59,19.26,19.92,14659
Madera,33.41,30.09,37,385
Marin,11.46,10.02,13.05,301
Mariposa,44.82,34.38,57.7,92
Mendocino,44.63,39.8,49.91,364
Merced,40.05,37.11,43.16,709
Modoc,81.27,61.11,106.36,72
Mono,12,6.69,20.32,17
Monterey,24.28,22.53,26.13,751
Napa,17.04,14.8,19.54,232
Nevada,16.96,14.55,19.71,223
Orange,14.68,14.19,15.18,3649
Placer,16.78,15.47,18.17,655
Plumas,61.09,49.43,74.84,137
Riverside,25.28,24.54,26.04,4562
Sacramento,31.46,30.44,32.5,3801
San Benito,17.35,13.62,21.77,78
San Bernardino,30.43,29.52,31.36,4484
San Diego,19.38,18.83,19.94,4979
San Francisco,17.16,16.25,18.11,1384
San Joaquin,35.92,34.32,37.57,1982
San Luis Obispo,22.66,20.77,24.69,594
San Mateo,10.94,10.12,11.81,741
Santa Barbara,18.04,16.61,19.56,628
Santa Clara,13.21,12.62,13.82,1995
Santa Cruz,10.89,9.51,12.41,254
Shasta,42.88,39.63,46.34,728
Sierra,N/A,N/A,N/A,N/A
Siskiyou,43.47,36.95,50.89,204
Solano,31.3,29.45,33.24,1147
Sonoma,26.32,24.73,27.98,1165
Stanislaus,40.7,38.67,42.8,1578
Sutter,48.52,43.6,53.87,377
Tehama,53.39,47.19,60.2,306
Trinity,48.32,36.46,62.84,78
Tulare,28.88,26.95,30.9,868
Tuolumne,40.12,34.9,45.97,258
Ventura,20.82,19.68,22.01,1367
Yolo,22.57,20.14,25.23,336
Yuba,64.6,57.94,71.83,354
