County,"Age-adjusted rate per 100,000",Lower 95% Limit,Upper 95% Limit,Number of cases
Alameda,8.26,6.89,9.83,144
Alpine,N/A,N/A,N/A,N/A
Amador,69,41.54,106.76,24
Butte,34.89,26.94,44.4,73
Calaveras,60.39,35.87,94.29,22
Colusa,55.13,28.66,96.1,13
Contra Costa,13.84,11.74,16.2,167
Del Norte,N/A,N/A,N/A,N/A
El Dorado,33.87,25.25,44.37,60
Fresno,30.51,27.06,34.27,295
Glenn,76.31,46.38,117.89,22
Humboldt,15.18,9.1,23.7,20
Imperial,103.85,87.6,122.07,162
Inyo,N/A,N/A,N/A,N/A
Kern,31.16,27.49,35.19,270
Kings,26.35,18.65,36.15,39
Lake,36.66,22.51,56.03,23
Lassen,N/A,N/A,N/A,N/A
Los Angeles,11.86,11.19,12.56,1223
Madera,31.12,23.07,41.08,52
Marin,5.83,3.29,9.67,20
Mariposa,N/A,N/A,N/A,N/A
Mendocino,24.65,15.03,37.98,22
Merced,34.69,27.88,42.62,94
Modoc,N/A,N/A,N/A,N/A
Mono,N/A,N/A,N/A,N/A
Monterey,11.11,8.11,14.82,47
Napa,18.01,11.37,27.07,26
Nevada,15.16,7.83,26.35,15
Orange,8.63,7.62,9.72,285
Placer,20.27,16.09,25.19,87
Plumas,N/A,N/A,N/A,N/A
Riverside,33.43,31.16,35.82,843
Sacramento,17.69,15.69,19.88,295
San Benito,N/A,N/A,N/A,N/A
San Bernardino,23.66,21.62,25.83,518
San Diego,9.97,8.91,11.11,340
San Francisco,3.46,2.26,5.05,30
San Joaquin,23.34,20.02,27.05,182
San Luis Obispo,19.2,14.22,25.33,57
San Mateo,7.32,5.47,9.58,60
Santa Barbara,9.59,6.91,12.96,45
Santa Clara,8.84,7.57,10.26,184
Santa Cruz,11.3,7.28,16.64,28
Shasta,40.64,31.5,51.55,74
Sierra,N/A,N/A,N/A,N/A
Siskiyou,33.01,16.64,58.04,13
Solano,16.65,13.09,20.89,80
Sonoma,13.38,10.32,17.07,74
Stanislaus,34.23,29.39,39.63,186
Sutter,27.22,17.64,40.02,27
Tehama,51.52,34.36,73.87,32
Trinity,N/A,N/A,N/A,N/A
Tulare,31.27,26.24,36.97,143
Tuolumne,33.28,18.74,54.54,19
Ventura,13.21,10.84,15.93,115
Yolo,29.98,22.33,39.31,59
Yuba,28.67,18.06,43.14,23
