Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,3.78,3.71,3.84,13855
Alameda,3.01,2.73,3.3,469
Alpine,N/A,N/A,N/A,N/A
Amador,N/A,N/A,N/A,N/A
Butte,3.98,3.07,5.05,70
Calaveras,N/A,N/A,N/A,N/A
Colusa,N/A,N/A,N/A,N/A
Contra Costa,3.07,2.74,3.43,336
Del Norte,N/A,N/A,N/A,N/A
El Dorado,3.72,2.8,4.82,66
Fresno,6.3,5.82,6.81,644
Glenn,N/A,N/A,N/A,N/A
Humboldt,1.77,1.08,2.71,22
Imperial,2.64,1.97,3.48,55
Inyo,N/A,N/A,N/A,N/A
Kern,2.66,2.34,3.02,246
Kings,2.88,2.09,3.88,44
Lake,2.98,1.69,4.82,16
Lassen,N/A,N/A,N/A,N/A
Los Angeles,4.5,4.37,4.65,4129
Madera,3.36,2.49,4.43,51
Marin,2.01,1.41,2.76,44
Mariposa,N/A,N/A,N/A,N/A
Mendocino,2.34,1.36,3.71,18
Merced,3.76,3.07,4.56,107
Modoc,N/A,N/A,N/A,N/A
Mono,N/A,N/A,N/A,N/A
Monterey,4.27,3.67,4.93,186
Napa,1.37,0.75,2.26,15
Nevada,3.23,1.97,4.92,22
Orange,2.75,2.56,2.95,803
Placer,2.77,2.23,3.4,98
Plumas,N/A,N/A,N/A,N/A
Riverside,3.77,3.51,4.03,854
Sacramento,4.81,4.46,5.18,717
San Benito,3,1.79,4.7,19
San Bernardino,4.32,4.04,4.61,924
San Diego,4.55,4.31,4.79,1426
San Francisco,3.68,3.22,4.18,251
San Joaquin,4,3.56,4.49,297
San Luis Obispo,1.87,1.33,2.54,43
San Mateo,2.17,1.83,2.56,148
Santa Barbara,1.64,1.28,2.08,71
Santa Clara,3.06,2.81,3.33,558
Santa Cruz,3.15,2.41,4.03,66
Shasta,2.77,1.99,3.74,44
Sierra,N/A,N/A,N/A,N/A
Siskiyou,N/A,N/A,N/A,N/A
Solano,2.64,2.16,3.19,108
Sonoma,1.8,1.41,2.27,78
Stanislaus,4.28,3.74,4.88,232
Sutter,3.89,2.72,5.39,37
Tehama,2.41,1.29,4.06,14
Trinity,N/A,N/A,N/A,N/A
Tulare,3.72,3.2,4.31,182
Tuolumne,2.52,1.2,4.56,13
Ventura,2.44,2.1,2.82,188
Yolo,3.35,2.54,4.33,61
Yuba,3.05,1.99,4.48,26
