Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,42.99,42.99,43.23,125337
Alameda,39.37,38.24,40.51,4854
Alpine,N/A,N/A,N/A,N/A
Amador,64.13,55.81,73.43,257
Butte,94.87,90.14,99.78,1688
Calaveras,79.93,70.13,90.74,348
Colusa,108.52,92.34,126.73,169
Contra Costa,40.37,39.05,41.73,3725
Del Norte,109.3,95.51,124.58,247
El Dorado,60.6,56.5,64.92,970
Fresno,63.32,61.33,65.36,3967
Glenn,127.23,112.29,143.65,281
Humboldt,65.13,60.23,70.34,729
Imperial,33.15,29.96,36.59,410
Inyo,61.68,49.65,75.89,111
Kern,69.87,67.65,72.15,3901
Kings,87.42,81.08,94.11,732
Lake,169.13,158.29,180.55,1055
Lassen,82.94,71.56,95.65,205
Los Angeles,39.48,39.02,39.95,29224
Madera,60.6,55.96,65.53,651
Marin,17.21,15.5,19.07,432
Mariposa,76.95,63.23,92.93,156
Mendocino,99.86,92.34,107.84,743
Merced,90.7,86.13,95.46,1513
Modoc,133.57,107.64,164.04,116
Mono,17.96,10.56,29.46,19
Monterey,36.88,34.7,39.16,1106
Napa,25.87,23.1,28.89,334
Nevada,42.84,38.33,47.76,424
Orange,29.37,28.67,30.08,6936
Placer,30.77,28.92,32.71,1103
Plumas,99.31,84.01,116.75,199
Riverside,45.97,44.95,47.01,8020
Sacramento,63.77,62.26,65.32,7011
San Benito,54.09,46.76,62.23,207
San Bernardino,55.54,54.29,56.82,7773
San Diego,31.91,31.19,32.64,7773
San Francisco,34.38,33.04,35.76,2556
San Joaquin,70.83,68.48,73.24,3586
San Luis Obispo,46.88,44,49.9,1150
San Mateo,18.94,17.87,20.06,1224
Santa Barbara,41.38,39.14,43.73,1344
Santa Clara,22.93,22.14,23.74,3301
Santa Cruz,20.93,18.98,23.03,469
Shasta,73.99,69.59,78.61,1182
Sierra,N/A,N/A,N/A,N/A
Siskiyou,93.89,84.12,104.54,418
Solano,62.24,59.53,65.05,2109
Sonoma,36.71,34.89,38.61,1666
Stanislaus,74.94,72.14,77.83,2806
Sutter,58.64,53,64.71,415
Tehama,107.84,98.95,117.34,592
Trinity,52.23,39.95,67.45,76
Tulare,49.43,46.86,52.1,1424
Tuolumne,75.44,67.53,84.06,416
Ventura,33.9,32.44,35.41,2154
Yolo,39.84,36.53,43.37,555
Yuba,95.31,86.9,104.32,493
