Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,24.48,24.32,24.64,93883
Alameda,27.32,26.47,28.19,4274
Alpine,N/A,N/A,N/A,N/A
Amador,28.89,23.11,35.61,103
Butte,23.98,21.78,26.34,473
Calaveras,29.14,23.45,35.71,111
Colusa,25.45,18.51,34,49
Contra Costa,27.07,26.09,28.07,3033
Del Norte,40.45,32.86,49.21,104
El Dorado,21.02,18.74,23.48,351
Fresno,34.74,33.58,35.94,3500
Glenn,20.38,15.13,26.79,55
Humboldt,34.21,31.02,37.63,442
Imperial,26.7,24.24,29.33,474
Inyo,26.91,19.39,36.26,46
Kern,27.98,26.88,29.12,2528
Kings,27.64,25.04,30.44,425
Lake,44.32,38.94,50.2,269
Lassen,29.64,23.67,36.64,90
Los Angeles,26.6,26.27,26.93,25868
Madera,31.15,28.36,34.14,473
Marin,11.81,10.35,13.41,279
Mariposa,23.43,15.34,33.98,31
Mendocino,38.28,34.03,42.88,314
Merced,37.82,35.49,40.25,1033
Modoc,61.24,42.94,84.19,42
Mono,36.04,25.55,49.18,40
Monterey,21.34,19.97,22.79,917
Napa,22.98,20.42,25.76,322
Nevada,20.74,17.57,24.27,174
Orange,15.88,15.43,16.34,4866
Placer,16.13,14.85,17.49,621
Plumas,40.49,29.99,53.18,57
Riverside,24.75,24.11,25.4,5870
Sacramento,35.15,34.21,36.11,5480
San Benito,35.38,30.75,40.49,219
San Bernardino,31,30.25,31.76,6752
San Diego,17.69,17.23,18.16,5739
San Francisco,17.02,16.11,17.97,1435
San Joaquin,37.98,36.6,39.4,2941
San Luis Obispo,16.84,15.21,18.58,432
San Mateo,14.42,13.54,15.34,1080
Santa Barbara,15.37,14.2,16.6,678
Santa Clara,14.95,14.39,15.52,2810
Santa Cruz,17.08,15.48,18.8,457
Shasta,24.03,21.65,26.59,400
Sierra,N/A,N/A,N/A,N/A
Siskiyou,25.1,19.92,31.14,86
Solano,40.18,38.29,42.14,1766
Sonoma,18.76,17.49,20.09,884
Stanislaus,32.9,31.37,34.48,1802
Sutter,19.42,16.64,22.53,183
Tehama,28.11,23.95,32.77,173
Trinity,21.85,13.97,32.28,26
Tulare,24.56,23.11,26.07,1134
Tuolumne,26.74,21.98,32.16,129
Ventura,17.26,16.34,18.21,1393
Yolo,22.99,20.82,25.32,455
Yuba,24.15,20.79,27.89,191
