Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,32.79,32.79,32.98,120739
Alameda,35.28,34.29,36.3,5201
Alpine,N/A,N/A,N/A,N/A
Amador,38.44,31.32,46.59,121
Butte,27.09,24.68,29.66,505
Calaveras,35.09,28.59,42.51,119
Colusa,45.3,36.38,55.69,95
Contra Costa,40.2,38.97,41.46,4243
Del Norte,41.68,33.6,51.01,97
El Dorado,25.46,22.92,28.19,416
Fresno,46.1,44.78,47.46,4717
Glenn,33.02,26.35,40.83,90
Humboldt,36.78,33.39,40.41,453
Imperial,29.67,27.11,32.41,547
Inyo,38.99,29.56,50.33,63
Kern,29.17,28.05,30.31,2670
Kings,38.32,35.25,41.58,586
Lake,54.62,48.55,61.2,318
Lassen,23.7,18.25,30.25,70
Los Angeles,35.91,35.52,36.31,33186
Madera,43.88,40.59,47.37,675
Marin,17.12,15.3,19.09,378
Mariposa,21.15,13.52,31.27,28
Mendocino,52.34,47.29,57.76,416
Merced,47.91,45.37,50.56,1372
Modoc,77.18,53.79,106.29,44
Mono,38.3,27.17,52.19,41
Monterey,31.73,30.04,33.49,1345
Napa,26.26,23.29,29.48,311
Nevada,19.63,16.42,23.25,152
Orange,23.24,22.68,23.81,6714
Placer,23.17,21.59,24.83,851
Plumas,29.56,21.07,40.18,49
Riverside,35.49,34.72,36.27,8247
Sacramento,40.27,39.25,41.31,6083
San Benito,34.85,30.33,39.83,222
San Bernardino,39.01,38.17,39.87,8386
San Diego,26.27,25.7,26.85,8244
San Francisco,24.81,23.62,26.04,1753
San Joaquin,47.01,45.47,48.59,3588
San Luis Obispo,22.44,20.51,24.49,549
San Mateo,21.35,20.23,22.51,1445
Santa Barbara,20.31,18.94,21.74,866
Santa Clara,22.22,21.52,22.94,3974
Santa Cruz,22.22,20.26,24.31,520
Shasta,25.18,22.73,27.81,413
Sierra,N/A,N/A,N/A,N/A
Siskiyou,27.91,22.44,34.23,98
Solano,53.61,51.37,55.92,2234
Sonoma,26.84,25.25,28.5,1142
Stanislaus,39.46,37.78,41.2,2134
Sutter,26.47,23.25,30.01,254
Tehama,34.5,29.76,39.74,199
Trinity,27.05,18.53,37.99,39
Tulare,31.62,30.02,33.27,1526
Tuolumne,27.22,22.25,32.9,119
Ventura,25.35,24.21,26.52,1955
Yolo,29.82,27.26,32.55,554
Yuba,37.87,33.76,42.34,315
