County,"Age-adjusted rate per 100,000",Lower 95% Limit,Upper 95% Limit,Number of cases
Alameda,7.38,6.02,8.93,118
Alpine,N/A,N/A,N/A,N/A
Amador,N/A,N/A,N/A,N/A
Butte,43.53,34.59,54.03,93
Calaveras,N/A,N/A,N/A,N/A
Colusa,N/A,N/A,N/A,N/A
Contra Costa,13.06,11.03,15.36,159
Del Norte,N/A,N/A,N/A,N/A
El Dorado,17.31,11.97,24.31,42
Fresno,28.84,25.47,32.52,278
Glenn,47.49,23.32,84.51,12
Humboldt,10.1,5.29,17.37,13
Imperial,115.94,99.02,134.79,187
Inyo,N/A,N/A,N/A,N/A
Kern,33.46,29.65,37.6,290
Kings,29.14,21,39.37,43
Lake,22,12.05,36.84,16
Lassen,N/A,N/A,N/A,N/A
Los Angeles,8.35,7.78,8.95,845
Madera,22.13,15.36,30.84,36
Marin,5.89,3.39,9.67,22
Mariposa,N/A,N/A,N/A,N/A
Mendocino,15.26,8.19,25.93,15
Merced,27.86,21.98,34.83,80
Modoc,N/A,N/A,N/A,N/A
Mono,N/A,N/A,N/A,N/A
Monterey,6.6,4.34,9.6,27
Napa,17.22,10.58,26.37,23
Nevada,22.29,12.95,35.55,22
Orange,5.9,5.08,6.82,194
Placer,19.06,14.98,23.88,83
Plumas,N/A,N/A,N/A,N/A
Riverside,30.31,28.14,32.6,759
Sacramento,19.75,17.61,22.08,324
San Benito,N/A,N/A,N/A,N/A
San Bernardino,21.95,20.01,24.03,489
San Diego,7.26,6.37,8.25,247
San Francisco,2.89,1.84,4.31,26
San Joaquin,24.77,21.41,28.5,202
San Luis Obispo,17.56,12.82,23.45,52
San Mateo,4.35,3,6.1,39
Santa Barbara,5.35,3.36,8.05,24
Santa Clara,7.12,5.94,8.45,139
Santa Cruz,7.31,4.44,11.37,22
Shasta,45.59,36.05,56.86,88
Sierra,N/A,N/A,N/A,N/A
Siskiyou,N/A,N/A,N/A,N/A
Solano,14.05,10.81,17.96,68
Sonoma,13.56,10.4,17.38,71
Stanislaus,31.31,26.74,36.44,174
Sutter,42.13,29.92,57.53,42
Tehama,24.21,13.04,40.67,15
Trinity,N/A,N/A,N/A,N/A
Tulare,29.81,24.94,35.33,138
Tuolumne,33.28,18.38,55.15,18
Ventura,10.49,8.33,13.03,85
Yolo,35.67,27.1,45.96,63
Yuba,51.7,36.9,70.35,41
