Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,24.86,24.68,25.05,74317
Alameda,18.94,18.19,19.72,2596
Alpine,N/A,N/A,N/A,N/A
Amador,38.42,32.52,45.18,184
Butte,56.32,52.58,60.27,925
Calaveras,58.76,50.74,67.73,280
Colusa,44.26,33.83,56.93,68
Contra Costa,21.14,20.2,22.11,2060
Del Norte,80.06,68.04,93.59,173
El Dorado,27.6,25.01,30.39,506
Fresno,38.8,37.27,40.39,2499
Glenn,90.02,76.7,104.99,183
Humboldt,42.23,38.43,46.32,497
Imperial,15.83,13.56,18.38,187
Inyo,36.2,27.38,47.12,67
Kern,43.9,42.17,45.69,2521
Kings,41.33,37.28,45.69,399
Lake,78.91,71.81,86.56,533
Lassen,64.08,54.32,75.1,162
Los Angeles,23.18,22.82,23.54,17030
Madera,35.46,31.93,39.28,386
Marin,9.2,7.99,10.56,255
Mariposa,93.84,76.28,114.18,149
Mendocino,56.27,50.68,62.31,434
Merced,54.24,50.72,57.94,913
Modoc,103.25,77.69,134.49,79
Mono,N/A,N/A,N/A,N/A
Monterey,21.05,19.42,22.79,644
Napa,14.07,12.03,16.37,186
Nevada,24.13,20.77,27.9,254
Orange,15.5,15,16.02,3745
Placer,18.35,16.95,19.84,675
Plumas,68.77,55.47,84.33,139
Riverside,29.09,28.28,29.92,5027
Sacramento,34.66,33.58,35.77,4098
San Benito,19.93,15.94,24.63,91
San Bernardino,33.1,32.14,34.08,4764
San Diego,20.5,19.93,21.09,5097
San Francisco,18.13,17.18,19.11,1430
San Joaquin,38.27,36.6,40.01,2034
San Luis Obispo,22.65,20.73,24.7,577
San Mateo,9.91,9.13,10.73,663
Santa Barbara,18.81,17.31,20.41,623
Santa Clara,13.53,12.93,14.16,1988
Santa Cruz,15.41,13.83,17.14,379
Shasta,50.48,46.97,54.21,861
Sierra,N/A,N/A,N/A,N/A
Siskiyou,56.26,48.51,64.94,242
Solano,33.3,31.37,35.32,1193
Sonoma,23.17,21.69,24.72,1020
Stanislaus,41,38.96,43.12,1577
Sutter,39.38,34.89,44.3,295
Tehama,58.9,52.66,65.72,357
Trinity,27.2,19.6,37.13,48
Tulare,30.49,28.48,32.61,885
Tuolumne,47.54,41.23,54.56,254
Ventura,20.69,19.54,21.89,1310
Yolo,25.16,22.59,27.95,368
Yuba,70.81,63.77,78.43,387
